Feature,Mean,SD,IQR
duration,636.62,1020.04,[251.0 - 733.0]
width,1975.63,737.79,[1920.0 - 1920.0]
height,1143.54,425.97,[1080.0 - 1080.0]
fps,31.53,10.43,[25.0 - 30.0]
vcodec,22.71,2.78,[23.0 - 24.0]
vbr,3895.79,3920.13,[1893.46 - 3964.87]
acodec,1.36,0.48,[1.0 - 2.0]
abr,132.69,12.91,[129.48 - 133.26]
thumb_width,1123.67,352.71,[1280.0 - 1280.0]
thumb_height,633.49,195.49,[720.0 - 720.0]
pca_metric,1.07,4.45,[-2.35 - 4.36]
cnn_thumb_preds,8.83,1.93,[7.55 - 9.94]
vid_name_chars,55.93,22.65,[39.0 - 72.0]
vid_name_words,9.61,4.13,[6.0 - 12.0]
desc_chars,1224.27,1051.51,[441.0 - 1702.0]
desc_words,165.56,151.28,[56.0 - 225.0]
subtitle_chars,5548.49,10060.03,[65.0 - 7136.0]
subtitle_words,1070.08,1939.15,[10.0 - 1380.0]
subtitle_words_unique,271.49,303.26,[7.0 - 406.0]
link_perc,0.2,0.18,[0.04 - 0.32]
pca_0,0.04,0.25,[-0.15 - 0.24]
pca_1,0.12,0.36,[-0.13 - 0.22]
pca_2,0.04,0.21,[-0.13 - 0.18]
pca_3,-0.01,0.16,[-0.13 - 0.09]
pca_4,-0.01,0.14,[-0.13 - 0.08]
num_tags,17.06,12.31,[8.0 - 24.0]
num_emoji_in_tags,0.01,0.13,[0.0 - 0.0]
